spec	method	path	operation_id	reason
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryConsumptionAdvices/{inventoryConsumptionAdvicesUniqID}/child/consumptionAdviceLines/{ConsumptionLineId}/child/consumptionAdviceLots/{consumptionAdviceLotsUniqID}/child/consumptionAdviceLotsAndSerials/{consumptionAdviceLotsAndSerialsUniqID}/child/VendorSerialNumber/{VendorSerialNumberUniqID}	get_inventoryConsumptionAdvices-consumptionAdviceLines-consumptionAdviceLots-consumptionAdviceLotsAndSerials-VendorSerialNumber	child depth 4 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryConsumptionAdvices/{inventoryConsumptionAdvicesUniqID}/child/consumptionAdviceLines/{ConsumptionLineId}/child/consumptionAdviceSerials/{consumptionAdviceSerialsUniqID}/child/VendorSerialNumber	getall_inventoryConsumptionAdvices-consumptionAdviceLines-consumptionAdviceSerials-VendorSerialNumber	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryConsumptionAdvices/{inventoryConsumptionAdvicesUniqID}/child/consumptionAdviceLines/{ConsumptionLineId}/child/consumptionAdviceSerials/{consumptionAdviceSerialsUniqID}/child/VendorSerialNumber/{VendorSerialNumberUniqID}	get_inventoryConsumptionAdvices-consumptionAdviceLines-consumptionAdviceSerials-VendorSerialNumber	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryOnhandBalances/{inventoryOnhandBalancesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/lotSerialAttributeDFFs	getall_inventoryOnhandBalances-lots-lotSerials-lotSerialAttributeDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryOnhandBalances/{inventoryOnhandBalancesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/lotSerialAttributeDFFs/{lotSerialAttributeDFFsUniqID}	get_inventoryOnhandBalances-lots-lotSerials-lotSerialAttributeDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryOnhandBalances/{inventoryOnhandBalancesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/lotSerialStandardDFFs	getall_inventoryOnhandBalances-lots-lotSerials-lotSerialStandardDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryOnhandBalances/{inventoryOnhandBalancesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/lotSerialStandardDFFs/{lotSerialStandardDFFsUniqID}	get_inventoryOnhandBalances-lots-lotSerials-lotSerialStandardDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs	getall_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs	create_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	DELETE	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs/{serialAttributeDFFsUniqID}	delete_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs/{serialAttributeDFFsUniqID}	get_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	PATCH	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs/{serialAttributeDFFsUniqID}	update_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs	getall_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs	create_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	DELETE	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs/{serialStandardDFFsUniqID}	delete_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs/{serialStandardDFFsUniqID}	get_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialStandardDFFs	child depth 3 > 2
